2022-11-04 17:39:57.658 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:00.084 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C110AE60>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:00.084 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C32E0A30>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:00.085 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C32D5C00>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:00.085 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C113D180>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:00.130 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:00.143 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:00.802 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C32491B0>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:00.817 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C1109450>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:00.820 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.157 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.171 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.179 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.226 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.230 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.316 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.541 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.542 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.558 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.559 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.618 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.649 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.679 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.681 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C32D4430>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:01.694 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.877 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.957 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:01.997 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:02.031 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:02.115 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:02.209 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:02.210 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:02.214 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:02.556 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:02.761 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:02.762 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:02.887 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.000 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.069 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.071 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.175 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.175 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.176 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.336 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.352 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.401 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.402 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.426 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.553 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.674 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C324D510>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:03.921 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.928 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:03.939 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:04.010 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:04.137 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:04.218 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:04.530 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:04.791 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C113EC50>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:05.067 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:05.075 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:05.091 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:05.128 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:05.251 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:05.289 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C10DF610>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:05.304 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C44DEC20>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:05.304 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C10DFA90>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:05.327 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2022-11-04 17:40:05.414 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:139 - HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/qin2dim/hcaptcha-challenger/releases (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001B4C44DD090>, 'Connection to api.github.com timed out. (connect timeout=3)'))
2022-11-04 17:40:05.523 | ERROR    | services.hcaptcha_challenger.solutions.kernel:request_assets:141 - 0
2023-02-23 16:44:36.312 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoiTzcvWFRzRkdnN3craVhFcm1Sd2VCYk5rU1Iwb2p5VUNhZTZQcGp3aUljeEExdGh5QUJBc2IzcXA0amZkVldnbW0vZUpES2kzcSsvc25pakxEYXZ2Y3VQcGhxN0J3M0RTTG14VCs3Y1hZZktrRXBGaFlKM3pzMTVsdk9DVVB1a014WGxuU2ViK3VYQlJXdnNZd1hkdjBpenRPL0ZpRDdxdVEvdUNTNmVSdVQ0TWFlVXdJV25EM1FiSXdGVT1BYVRIOEJXYkZKelNKM3N5IiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTU4MzE2LCJuIjoiaHN3IiwiYyI6MTAwMH0.KCqTRtB1jiw8C1UbCmm0O19JOAslYQXX2iAJ1lBB_mU'}, 'pass': False}
2023-02-23 16:44:51.957 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoiSkhXdGtCR0pWd3RROU9zQkdUcTUzamZzZ2grRDRDUnFmYjA2RUhSbk94eGgrWTFYcVgwcGtaNGhNVDZaL0lDOHJvaGNxMkdlWVAxc2QrTDZUWWlvZ21BUWpEM0UydDdBZDVPRGR0d0sxRFAzc0hVU1N6cHF4ME5GdEs3MUdDbzByMmtyQU40bzBCeTlaTURZTnV4TzlNT0IzSDY2cmJnS0RPakJ0Rm5uanhnT01aRDNJZitPS2ZvaU5Ibz1XWERNZVFtQk9IUERlR09zIiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTU4MzMyLCJuIjoiaHN3IiwiYyI6MTAwMH0.dnU7YYW-6cJiqJRUbmheM-ltBHFR7eV-PqZvQvhimdY'}, 'pass': False}
2023-02-23 16:45:00.426 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 16:45:00.431 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 16:45:00.436 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 16:45:00.466 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 16:45:00.494 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 16:45:00.501 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 16:45:00.509 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 16:45:00.937 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 16:45:00.969 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 16:45:02.778 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoiOTgxR2tnYWJSMjhIUllmRkJNSk54UU9lZXdDN3I5MUdoNURZWmk2bkhZRVJ4ek5QTXBhYXFGMDlhem9RVElTd1RBV3ZhNzA0S29uZ053UjRvY3lNcjNkNHFUYWM1R2NBc3NFQklyb3Z2elZTZEd1THV1VDd5RSsxdCtTTFNVZ1QwK2dzaUxVSjV5ZEZOQ21WblZMVXorQTVqNW5sRS96Z2FnOEQvYW04UUlFcjRiOUR2d2xoRldIY2ZmVT1adjkzNDh0c3FsTENEdnNiIiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTU4MzQzLCJuIjoiaHN3IiwiYyI6MTAwMH0.2Bgrd3lLIHO8Fg5nzOZIFjKGAt8feMp7GojhFeeql6w'}, 'pass': False, 'error': 'invalid'}
2023-02-23 16:49:24.789 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'success': False, 'error-codes': ['invalid-answers']}
2023-02-23 17:29:47.077 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'success': False, 'error-codes': ['invalid-answers']}
2023-02-23 17:29:47.938 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'success': False, 'error-codes': ['invalid-answers']}
2023-02-23 17:29:48.798 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoiWjJPYjFMTHcrQlZENFNiS3lUdVJMU3NJQjUycGR1MWJkTDdCdzhxUllROURaRFVoNTdPMWhkMTIyV2hkUENyMXpGa29LNEZCWFNlSDFjOXV0MWUySDZUUjIzVWhNZkxBNTVQRldGMGJNMVBTS2FMQUxnQVZjb3dyNDgzbXMxQkV4R2JzTjVsb3J4UGJVcUN0c2VBQWtIbzlUbTZ3c1lSU1M1VEdWOG1XM3JkNWpRc3RMNEdIL1puUWpyND1jd3Q4bThPQ0lraFNMWTN3IiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTYxMDI5LCJuIjoiaHN3IiwiYyI6MTAwMH0.M3kD5sLEsNaKL7h4erc3Xx1-5i5kfZx0utUy6QN5Cjg'}, 'pass': False}
2023-02-23 17:29:49.738 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoiMUJhRUxzMUtJVFFCNzVPdWxWWlZsV1ZWRlNBZmI5eHR3QUJrNUpLdVc1RWxZSmtaUGxyRUJpZEJkTTVHZjRTN0JFa1NEZU55Yk80c0dlc1lQZTY4Q0xmOFlrUUxHdTdEdGw2NWNxL2RuemJIMjlFUWZhL1FuNGN0ZkRzUmJRTnNVN2ZJc20rRTByblFvT3pxRkc2d3FNTmhjYWg4WnZlTmY4OG9ES1RjNk1uZVN2RllNTDc0dXZlWSttRT04dkc5SEx1NFVTb09hdzRvIiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTYxMDMwLCJuIjoiaHN3IiwiYyI6MTAwMH0.i2-1yI0BNp7ulGWbzZShF7AkvdbdpX1KEMoQVHp3w8Y'}, 'pass': False, 'error': 'invalid'}
2023-02-23 17:29:50.642 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoia1RyanhnQVBFZHNRSVpUYUFPUUV5ZFMvMG5CT3BDRndoQ2NQdHhrSzZoN2lGc0NlT2ZlbnJTSHMwTURZRVV3OGNXeDRVL2UyejU0ckp2RlowYk1VRkt2Q3RSbkpnTitNc2kvam56N2pkYXdhbENvQWw4dXViWlNXcEhucXZTT2JEcFhrR1VqdjdLeDVBUC9kcVFtVzFPaFZPTWY3SnZFNEgvZUVqVzU1ZjlENHdTSm1OTHFDSDIrelNNaz0rN0NKOGNtaHZhcWpaRVkrIiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTYxMDMwLCJuIjoiaHN3IiwiYyI6MTAwMH0.Wk_2LkPwEEbEAtvVsYGIwTz-_TrkXYs_IQYbGWSpSRk'}, 'pass': False, 'error': 'invalid'}
2023-02-23 17:29:50.963 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoibTYvRGkxQk11RnFMOVJJdjhiLzlMQno0cEhpclpHYUk2SW5oWXU1TWt5NEV1TVpTK3hIR21JVkZDZlIzTWpxUzJySHkzdURMM1lhQzdvZHdVQmNJcm8vSnRKVE5HcjlDanZHb0ppWWV6L3hPeTdrUldsQ1M3bmJiaE0xUDlENE9TaWNOLzBLa1lxS3pNeUxYcnpRVWxnVHR6L0JoUDdOd05QUEdlbzlIUmlONzVaSGx6ZHl1cWZqTGRoWT1LVU9uaCtpdlI4RjZlZzBiIiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTYxMDMxLCJuIjoiaHN3IiwiYyI6MTAwMH0.f9sSu9VwzWUC20Wwur2H0MyTzX-Vb6VcUlfMdlbprLk'}, 'pass': False}
2023-02-23 17:29:52.457 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoiYVcraWNBMllkNXl3SFlZVm51azllcDl6OHNQR3J5NjZTYjBPSmRrZnlIK3ZvWVlHVGVOZlhEc1g4aWduY3pPQ2diMDNjM3U4NlhZVDc3TEZLekhJbUZjM3NqVUNDcjQvNXVsb1FWeFpqQ2JlZ2h1VjZ5Um1hN041TVNJNTA4d3B6RGtWbmZML1FYUUhSSGozaW1zeWRQTVFtME5iT295MEkzVEVjZ1ZtNjZkTGRNei9ETnd3QlQzZnh2Yz1tZXdZaWZ0SC9VeVBXSS9sIiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTYxMDMyLCJuIjoiaHN3IiwiYyI6MTAwMH0.4jiDX3p5KfIJC6kjq1Q_5Tojuzxu6r0yNG8tJ1hn60M'}, 'pass': False}
2023-02-23 17:29:54.582 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoiQnJ1WkpZUXhpZ2hSMjQ1ckgrZ3FaZU15SExwUTVRa1lWTnk2UzZyeStUYmdmY1BPVXNRc1B5RDFabjZveDlrR2lPT2p1OWlzOSs2S2dDUHQxSEdQK3NyTzB1aG0wVk9GMVVpN1pwVVRDUTVqUkFkbTd2SlJ6VlVqWUxxZWNzRWRBTUExelN0eXc2STEzK3JWVWNtVVp1ekxnSlF6c3lyMTI0Y2o2dkhNMGRyT0ZZaC8vNzFkNFkxaDl2Zz1mL2hNMnZjaTljcmpJMmxIIiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTYxMDM0LCJuIjoiaHN3IiwiYyI6MTAwMH0.w81j2WiVLeDROB2tuhwDCrvafzaxgn-ohbaIF7dgHW4'}, 'pass': False}
2023-02-23 17:29:55.016 | ERROR    | Hcaptcha.hCaptcha:_slove:133 - Captcha Error: {'c': {'type': 'hsw', 'req': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJmIjowLCJzIjoxNiwidCI6InciLCJkIjoiWmo1U002VmhzQ2MxdkpOQWdrQVJtMmw0cFhxb3B4WE10R0szMWpUR21kcENZNW1ubmdmU29LaG1tbUZyNG1GQUkzL1g0L2swQitRU2crVlBkRmRkNCtyNFZzWmJyejV5NWYyS1Q3UHZtQ0drMkhUQ1R2cldiWGpYQ2kwa3IxZU9xTGlkMDVpUlltMnJCZkE3VlFyTDVtRFJLWEFuWEJhZ3B3NnJKYzZjN1lKdnVNbWFkRXJnQkNPZ2hiZz1lQXlQMm9KbUxNYU1ibjcrIiwibCI6Imh0dHBzOi8vbmV3YXNzZXRzLmhjYXB0Y2hhLmNvbS9jLzZmZGQyZjMiLCJlIjoxNjc3MTYxMDM1LCJuIjoiaHN3IiwiYyI6MTAwMH0.EU-5Vtvl3epLMAf4ag2pqEXjQqw3EDaet3wJfZHUg84'}, 'pass': False}
2023-02-23 17:40:34.328 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 17:40:34.343 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 17:40:34.395 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 17:40:34.838 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 17:40:35.262 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 17:40:35.287 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 17:40:35.312 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 17:40:35.342 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
2023-02-23 17:40:35.376 | ERROR    | Hcaptcha._image_recognition:_image_recognition:28 - Challenge type cow in its natural environment not yet supported.
